Number of model parameters: 5224768
0.001
Iter 0 training loss = 84.680 , time = 3.57
Iter 169 training loss = 12.922 , time = 2.83
Iter 170 training loss = 54.922 , time = 2.86
Iter 171 training loss = 9.156 , time = 2.86
Iter 172 training loss = 13.202 , time = 2.86
Iter 173 training loss = 10.702 , time = 2.86
Iter 174 training loss = 8.679 , time = 2.86
Iter 175 training loss = 6.549 , time = 2.86
Iter 176 training loss = 6.302 , time = 2.86
Iter 177 training loss = 38.520 , time = 2.86
Iter 178 training loss = 4.976 , time = 2.86
Iter 179 training loss = 6.826 , time = 2.86
Iter 180 training loss = 10.937 , time = 2.87
Iter 181 training loss = 4.591 , time = 2.86
Iter 182 training loss = 6.542 , time = 2.86
Iter 183 training loss = 4.450 , time = 2.86
Iter 184 training loss = 2.899 , time = 2.86
Iter 185 training loss = 4.796 , time = 2.84
Iter 186 training loss = 19.956 , time = 2.86
Iter 187 training loss = 2.144 , time = 2.86
Iter 188 training loss = 9.655 , time = 2.86
Iter 189 training loss = 7.602 , time = 2.85
Iter 190 training loss = 5.499 , time = 2.86
Iter 191 training loss = 4.665 , time = 2.86
Iter 192 training loss = 10.157 , time = 2.85
Iter 193 training loss = 9.431 , time = 2.86
Iter 194 training loss = 9.024 , time = 2.87
Iter 195 training loss = 4.647 , time = 2.87
Iter 196 training loss = 8.116 , time = 2.87
Iter 197 training loss = 22.375 , time = 2.86
Iter 198 training loss = 8.851 , time = 2.86
Iter 199 training loss = 9.098 , time = 2.87
Iter 200 training loss = 13.868 , time = 2.86
Iter 201 training loss = 1.757 , time = 2.86
Iter 202 training loss = 5.025 , time = 2.86
Iter 203 training loss = 4.029 , time = 2.86
Iter 204 training loss = 3.905 , time = 2.87
Iter 205 training loss = 12.441 , time = 2.87
Iter 206 training loss = 2.951 , time = 2.86
Iter 207 training loss = 3.701 , time = 2.86
Iter 208 training loss = 19.279 , time = 2.88
Iter 209 training loss = 5.773 , time = 2.83
Iter 210 training loss = 3.538 , time = 2.85
Iter 211 training loss = 4.267 , time = 2.84
Iter 212 training loss = 4.699 , time = 2.84
Iter 213 training loss = 2.858 , time = 2.85
Iter 214 training loss = 5.466 , time = 2.84
Iter 215 training loss = 8.470 , time = 2.88
Iter 216 training loss = 3.257 , time = 2.87
Iter 217 training loss = 6.103 , time = 2.86
Iter 218 training loss = 5.187 , time = 2.88
Iter 219 training loss = 8.277 , time = 2.87
Iter 220 training loss = 5.796 , time = 2.86
Iter 221 training loss = 10.802 , time = 2.86
Iter 222 training loss = 7.552 , time = 2.86
Iter 223 training loss = 4.554 , time = 2.86
Iter 224 training loss = 10.921 , time = 2.86
Iter 225 training loss = 15.760 , time = 2.86
Iter 226 training loss = 6.871 , time = 2.85
Iter 227 training loss = 2.967 , time = 2.83
Iter 228 training loss = 2.124 , time = 2.85
Iter 229 training loss = 6.367 , time = 2.84
Iter 230 training loss = 3.535 , time = 2.85
Iter 231 training loss = 6.580 , time = 2.84
Iter 232 training loss = 6.355 , time = 2.84
Iter 233 training loss = 2.761 , time = 2.84
Iter 234 training loss = 6.101 , time = 0.97
235
epoch 1 total training loss = 11.962, epoch time = 647.19
0.001
Iter 0 training loss = 8.647 , time = 3.04
Iter 1 training loss = 10.486 , time = 2.86
Iter 2 training loss = 8.163 , time = 2.84
Iter 3 training loss = 11.418 , time = 2.84
Iter 4 training loss = 3.835 , time = 2.85
Iter 5 training loss = 21.268 , time = 2.86
Iter 6 training loss = 17.507 , time = 2.85
Iter 7 training loss = 6.309 , time = 2.86
Iter 8 training loss = 8.335 , time = 2.86
Iter 9 training loss = 2.954 , time = 2.87
Iter 10 training loss = 9.259 , time = 2.86
Iter 11 training loss = 5.799 , time = 2.86
Iter 12 training loss = 6.548 , time = 2.86
Iter 13 training loss = 7.485 , time = 2.86
Iter 14 training loss = 3.919 , time = 2.86
Iter 15 training loss = 5.856 , time = 2.85
Iter 16 training loss = 4.933 , time = 2.86
Iter 17 training loss = 1.093 , time = 2.86
Iter 18 training loss = 2.242 , time = 2.87
Iter 19 training loss = 2.905 , time = 2.86
Iter 20 training loss = 10.172 , time = 2.86
Iter 21 training loss = 3.848 , time = 2.87
Iter 22 training loss = 6.610 , time = 2.87
Iter 23 training loss = 6.229 , time = 2.87
Iter 24 training loss = 17.749 , time = 2.87
Iter 25 training loss = 10.651 , time = 2.86
Iter 26 training loss = 12.459 , time = 2.87
Iter 27 training loss = 8.811 , time = 2.86
Iter 28 training loss = 4.696 , time = 2.87
Iter 29 training loss = 4.280 , time = 2.88
Iter 30 training loss = 2.217 , time = 2.87
Iter 31 training loss = 4.394 , time = 2.87
Iter 32 training loss = 3.095 , time = 2.84
Iter 33 training loss = 4.314 , time = 2.83
Iter 34 training loss = 4.732 , time = 2.84
Iter 35 training loss = 1.889 , time = 2.85
Iter 36 training loss = 3.739 , time = 2.85
Iter 37 training loss = 10.367 , time = 2.87
Iter 38 training loss = 6.053 , time = 2.86
Iter 39 training loss = 9.379 , time = 2.87
Iter 40 training loss = 11.778 , time = 2.87
Iter 41 training loss = 27.516 , time = 2.87
Iter 42 training loss = 6.754 , time = 2.86
Iter 43 training loss = 5.623 , time = 2.87
Iter 44 training loss = 5.223 , time = 2.87
Iter 45 training loss = 3.569 , time = 2.86
Iter 46 training loss = 3.896 , time = 2.86
Iter 47 training loss = 7.182 , time = 2.87
Iter 48 training loss = 6.283 , time = 2.87
Iter 49 training loss = 24.094 , time = 2.87
Iter 50 training loss = 7.849 , time = 2.87
Iter 51 training loss = 5.876 , time = 2.86
Iter 52 training loss = 4.647 , time = 2.87
Iter 53 training loss = 9.096 , time = 2.88
Iter 54 training loss = 10.419 , time = 2.87
Iter 55 training loss = 7.065 , time = 2.87
Iter 56 training loss = 4.130 , time = 2.86
Iter 57 training loss = 2.398 , time = 2.87
Iter 58 training loss = 4.442 , time = 2.87
Iter 59 training loss = 1.864 , time = 2.87
Iter 60 training loss = 10.853 , time = 2.87
Iter 61 training loss = 10.371 , time = 2.88
Iter 62 training loss = 3.217 , time = 2.88
Iter 63 training loss = 2.632 , time = 2.88
Iter 64 training loss = 5.015 , time = 2.86
Iter 65 training loss = 5.918 , time = 2.86
Iter 66 training loss = 6.823 , time = 2.87
Iter 67 training loss = 22.161 , time = 2.86
Iter 68 training loss = 2.144 , time = 2.87
Iter 69 training loss = 3.493 , time = 2.87
Iter 70 training loss = 3.353 , time = 2.87
Iter 71 training loss = 8.137 , time = 2.86
Iter 72 training loss = 3.455 , time = 2.87
Iter 73 training loss = 3.479 , time = 2.86
Iter 74 training loss = 4.862 , time = 2.87
Iter 75 training loss = 5.996 , time = 2.86
Iter 76 training loss = 6.487 , time = 2.86
Iter 77 training loss = 6.525 , time = 2.87
Iter 78 training loss = 9.360 , time = 2.86
Iter 79 training loss = 7.301 , time = 2.85
Iter 80 training loss = 9.925 , time = 2.86
Iter 81 training loss = 6.434 , time = 2.86
Iter 82 training loss = 3.024 , time = 2.86
Iter 83 training loss = 16.772 , time = 2.86
Iter 84 training loss = 4.912 , time = 2.87
Iter 85 training loss = 7.352 , time = 2.87
Iter 86 training loss = 3.527 , time = 2.88
Iter 87 training loss = 4.914 , time = 2.87
Iter 88 training loss = 7.962 , time = 2.86
Iter 89 training loss = 3.115 , time = 2.87
Iter 90 training loss = 3.083 , time = 2.86
Iter 91 training loss = 6.021 , time = 2.87
Iter 92 training loss = 5.156 , time = 2.86
Iter 93 training loss = 7.094 , time = 2.86
Iter 94 training loss = 4.214 , time = 2.86
Iter 95 training loss = 8.909 , time = 2.86
Iter 96 training loss = 3.167 , time = 2.87
Iter 97 training loss = 3.539 , time = 2.87
Iter 98 training loss = 4.839 , time = 2.87
Iter 99 training loss = 5.819 , time = 2.87
Iter 100 training loss = 5.593 , time = 2.87
Iter 101 training loss = 13.518 , time = 2.86
Iter 102 training loss = nan , time = 2.67
Iter 103 training loss = 5.867 , time = 2.87
Iter 104 training loss = 8.840 , time = 2.85
Iter 105 training loss = 2.121 , time = 2.86
Iter 106 training loss = 8.527 , time = 2.86
Iter 107 training loss = 4.426 , time = 2.86
Iter 108 training loss = 10.998 , time = 2.86
Iter 109 training loss = 6.046 , time = 2.86
Iter 110 training loss = 5.366 , time = 2.87
Iter 111 training loss = 8.548 , time = 2.86
Iter 112 training loss = 30.461 , time = 2.87
Iter 113 training loss = 7.315 , time = 2.87
Iter 114 training loss = 9.372 , time = 2.86
Iter 115 training loss = 6.833 , time = 2.87
Iter 116 training loss = 3.393 , time = 2.86
Iter 117 training loss = 9.224 , time = 2.87
Iter 118 training loss = 5.061 , time = 2.88
Iter 119 training loss = 3.585 , time = 2.88
Iter 120 training loss = 4.996 , time = 2.86
Iter 121 training loss = 4.570 , time = 2.87
Iter 122 training loss = 8.638 , time = 2.88
Iter 123 training loss = 5.696 , time = 2.84
Iter 124 training loss = 4.650 , time = 2.85
Iter 125 training loss = 23.554 , time = 2.85
Iter 126 training loss = 4.446 , time = 2.89
Iter 127 training loss = 3.624 , time = 2.87
Iter 128 training loss = 9.141 , time = 2.87
Iter 129 training loss = 4.968 , time = 2.86
Iter 130 training loss = 36.449 , time = 2.88
Iter 131 training loss = 3.629 , time = 2.84
Iter 132 training loss = 3.037 , time = 2.85
Iter 133 training loss = 8.527 , time = 2.85
Iter 134 training loss = 1.432 , time = 2.87
Iter 135 training loss = 5.336 , time = 2.88
Iter 136 training loss = 7.221 , time = 2.87
Iter 137 training loss = 3.819 , time = 2.87
Iter 138 training loss = 2.603 , time = 2.88
Iter 139 training loss = 11.352 , time = 2.84
Iter 140 training loss = 4.225 , time = 2.85
Iter 141 training loss = 7.617 , time = 2.85
Iter 142 training loss = 9.847 , time = 2.85
Iter 143 training loss = 5.298 , time = 2.85
Iter 144 training loss = 6.703 , time = 2.85
Iter 145 training loss = 19.131 , time = 2.84
Iter 146 training loss = 5.683 , time = 2.85
Iter 147 training loss = 9.611 , time = 2.85
Iter 148 training loss = 8.468 , time = 2.88
Iter 149 training loss = 9.752 , time = 2.87
Iter 150 training loss = 5.936 , time = 2.87
Iter 151 training loss = 7.957 , time = 2.87
Iter 152 training loss = 5.087 , time = 2.87
Iter 153 training loss = 13.381 , time = 2.86
Iter 154 training loss = 4.012 , time = 2.88
Iter 155 training loss = 6.651 , time = 2.84
Iter 156 training loss = 4.404 , time = 2.84
Iter 157 training loss = 2.997 , time = 2.84
Iter 158 training loss = 3.733 , time = 2.89
Iter 159 training loss = 6.861 , time = 2.84
Iter 160 training loss = 9.782 , time = 2.83
Iter 161 training loss = 4.180 , time = 2.88
Iter 162 training loss = 9.312 , time = 2.88
Iter 163 training loss = 3.066 , time = 2.88
Iter 164 training loss = 3.007 , time = 2.84
Iter 165 training loss = 9.292 , time = 2.84
Iter 166 training loss = 5.307 , time = 2.85
Iter 167 training loss = 12.347 , time = 2.85
Iter 168 training loss = 3.482 , time = 2.86
Iter 169 training loss = 79.533 , time = 2.85
Iter 170 training loss = 4.304 , time = 2.85
Iter 171 training loss = 10.246 , time = 2.86
Iter 172 training loss = 6.990 , time = 2.85
Iter 173 training loss = 29.888 , time = 2.86
Iter 174 training loss = 9.302 , time = 2.85
Iter 175 training loss = 9.759 , time = 2.86
Iter 176 training loss = 3.040 , time = 2.86
Iter 177 training loss = 5.040 , time = 2.86
Iter 178 training loss = 5.078 , time = 2.87
Iter 179 training loss = 2.111 , time = 2.86
Iter 180 training loss = 4.787 , time = 2.86
Iter 181 training loss = 6.937 , time = 2.86
Iter 182 training loss = 8.745 , time = 2.85
Iter 183 training loss = 3.197 , time = 2.87
Iter 184 training loss = 9.903 , time = 2.86
Iter 185 training loss = 9.433 , time = 2.85
Iter 186 training loss = 5.914 , time = 2.87
Iter 187 training loss = 6.145 , time = 2.85
Iter 188 training loss = 7.090 , time = 2.85
Iter 189 training loss = 8.170 , time = 2.86
Iter 190 training loss = 7.739 , time = 2.86
Iter 191 training loss = 33.423 , time = 2.86
Iter 192 training loss = 4.069 , time = 2.85
Iter 193 training loss = 5.136 , time = 2.85
Iter 194 training loss = 8.911 , time = 2.86
Iter 195 training loss = 2.429 , time = 2.85
Iter 196 training loss = 4.576 , time = 2.85
Iter 197 training loss = 3.656 , time = 2.85
Iter 198 training loss = 31.554 , time = 2.85
Iter 199 training loss = 7.817 , time = 2.86
Iter 200 training loss = 20.699 , time = 2.84
Iter 201 training loss = 6.031 , time = 2.84
Iter 202 training loss = 1.685 , time = 2.86
Iter 203 training loss = 5.092 , time = 2.86
Iter 204 training loss = 3.979 , time = 2.85
Iter 205 training loss = 2.954 , time = 2.85
Iter 206 training loss = 11.568 , time = 2.85
Iter 207 training loss = 8.085 , time = 2.86
Iter 208 training loss = 3.691 , time = 2.84
Iter 209 training loss = 10.689 , time = 2.85
Iter 210 training loss = 6.720 , time = 2.86
Iter 211 training loss = 6.458 , time = 2.84
Iter 212 training loss = 2.882 , time = 2.85
Iter 213 training loss = 9.126 , time = 2.85
Iter 214 training loss = 6.168 , time = 2.84
Iter 215 training loss = 6.094 , time = 2.86
Iter 216 training loss = 7.779 , time = 2.84
Iter 217 training loss = 3.576 , time = 2.85
Iter 218 training loss = 6.576 , time = 2.86
Iter 219 training loss = 7.293 , time = 2.83
Iter 220 training loss = 4.861 , time = 2.83
Iter 221 training loss = 10.204 , time = 2.82
Iter 222 training loss = 7.750 , time = 2.84
Iter 223 training loss = 5.871 , time = 2.84
Iter 224 training loss = 8.663 , time = 2.82
Iter 225 training loss = 3.748 , time = 2.83
Iter 226 training loss = 5.626 , time = 2.85
Iter 227 training loss = 7.068 , time = 2.82
Iter 228 training loss = 5.101 , time = 2.82
Iter 229 training loss = 6.143 , time = 2.84
Iter 230 training loss = 1.464 , time = 2.84
Iter 231 training loss = 11.539 , time = 2.83
Iter 232 training loss = 5.443 , time = 2.84
Iter 233 training loss = 3.494 , time = 2.84
Iter 234 training loss = 3.223 , time = 0.97
235
epoch 2 total training loss = 8.034, epoch time = 1319.33
0.001
Iter 0 training loss = 4.014 , time = 3.03
Iter 1 training loss = 4.669 , time = 2.82
Iter 2 training loss = 3.970 , time = 2.82
Iter 3 training loss = 9.760 , time = 2.84
Iter 4 training loss = 2.569 , time = 2.85
Iter 5 training loss = 6.369 , time = 2.85
Iter 6 training loss = 4.958 , time = 2.85
Iter 7 training loss = 2.823 , time = 2.86
Iter 8 training loss = 5.148 , time = 2.84
Iter 9 training loss = 7.430 , time = 2.85
Iter 10 training loss = 7.498 , time = 2.84
Iter 11 training loss = 4.761 , time = 2.85
Iter 12 training loss = 3.445 , time = 2.84
Iter 13 training loss = 14.854 , time = 2.84
Iter 14 training loss = 5.517 , time = 2.85
Iter 15 training loss = 4.463 , time = 2.85
Iter 16 training loss = 4.822 , time = 2.84
Iter 17 training loss = 5.220 , time = 2.86
Iter 18 training loss = 5.296 , time = 2.86
Iter 19 training loss = 3.767 , time = 2.85
Iter 20 training loss = 5.802 , time = 2.86
Iter 21 training loss = 13.645 , time = 2.84
Iter 22 training loss = 7.054 , time = 2.86
Iter 23 training loss = 5.336 , time = 2.85
Iter 24 training loss = 5.892 , time = 2.86
Iter 25 training loss = 3.327 , time = 2.85
Iter 26 training loss = 4.541 , time = 2.86
Iter 27 training loss = 8.279 , time = 2.85
Iter 28 training loss = 1.928 , time = 2.85
Iter 29 training loss = 4.158 , time = 2.86
Iter 30 training loss = 8.861 , time = 2.86
Iter 31 training loss = 4.189 , time = 2.85
Iter 32 training loss = 5.309 , time = 2.87
Iter 33 training loss = 7.887 , time = 2.86
Iter 34 training loss = 11.016 , time = 2.85
Iter 35 training loss = 5.909 , time = 2.86
Iter 36 training loss = 8.801 , time = 2.86
Iter 37 training loss = 2.293 , time = 2.86
Iter 38 training loss = 4.104 , time = 2.86
Iter 39 training loss = 5.391 , time = 2.85
Iter 40 training loss = 8.905 , time = 2.85
Iter 41 training loss = 13.779 , time = 2.86
Iter 42 training loss = 3.129 , time = 2.85
Iter 43 training loss = 10.156 , time = 2.85
Iter 44 training loss = 39.222 , time = 2.87
Iter 45 training loss = 5.208 , time = 2.86
Iter 46 training loss = 2.582 , time = 2.85
Iter 47 training loss = 3.476 , time = 2.86
Iter 48 training loss = 6.830 , time = 2.86
Iter 49 training loss = 3.043 , time = 2.87
Iter 50 training loss = 14.965 , time = 2.86
Iter 51 training loss = 6.071 , time = 2.87
Iter 52 training loss = 9.825 , time = 2.86
Iter 53 training loss = 3.536 , time = 2.86
Iter 54 training loss = 4.757 , time = 2.86
Iter 55 training loss = 5.717 , time = 2.86
Iter 56 training loss = 7.120 , time = 2.86
Iter 57 training loss = 6.404 , time = 2.86
Iter 58 training loss = 5.651 , time = 2.86
Iter 59 training loss = 5.979 , time = 2.86
Iter 60 training loss = 19.082 , time = 2.86
Iter 61 training loss = 6.428 , time = 2.87
Iter 62 training loss = 7.515 , time = 2.87
Iter 63 training loss = 4.135 , time = 2.87
Iter 64 training loss = 2.138 , time = 2.87
Iter 65 training loss = 7.827 , time = 2.86
Iter 66 training loss = 5.733 , time = 2.87
Iter 67 training loss = 4.333 , time = 2.86
Iter 68 training loss = 13.196 , time = 2.87
Iter 69 training loss = 9.164 , time = 2.86
Iter 70 training loss = 4.409 , time = 2.87
Iter 71 training loss = 5.003 , time = 2.87
Iter 72 training loss = 9.961 , time = 2.85
Iter 73 training loss = 6.334 , time = 2.86
Iter 74 training loss = 6.854 , time = 2.87
Iter 75 training loss = 6.164 , time = 2.86
Iter 76 training loss = 5.258 , time = 2.87
Iter 77 training loss = 3.820 , time = 2.86
Iter 78 training loss = 3.834 , time = 2.87
Iter 79 training loss = 9.288 , time = 2.86
Iter 80 training loss = 20.947 , time = 2.87
Iter 81 training loss = 4.698 , time = 2.87
Iter 82 training loss = 1.404 , time = 2.86
Iter 83 training loss = 4.500 , time = 2.86
Iter 84 training loss = 11.512 , time = 2.86
Iter 85 training loss = 54.625 , time = 2.86
Iter 86 training loss = 2.641 , time = 2.86
Iter 87 training loss = 4.532 , time = 2.86
Iter 88 training loss = 3.699 , time = 2.86
Iter 89 training loss = 7.845 , time = 2.87
Iter 90 training loss = 5.269 , time = 2.86
Iter 91 training loss = 9.858 , time = 2.86
Iter 92 training loss = 5.098 , time = 2.86
Iter 93 training loss = 3.345 , time = 2.86
Iter 94 training loss = 3.096 , time = 2.86
Iter 95 training loss = 4.235 , time = 2.87
Iter 96 training loss = 3.303 , time = 2.86
Iter 97 training loss = 4.882 , time = 2.87
Iter 98 training loss = 6.338 , time = 2.87
Iter 99 training loss = 2.889 , time = 2.85
Iter 100 training loss = 3.252 , time = 2.85
Iter 101 training loss = 8.363 , time = 2.87
Iter 102 training loss = 3.844 , time = 2.86
Iter 103 training loss = 1.919 , time = 2.86
Iter 104 training loss = 7.605 , time = 2.86
Iter 105 training loss = 2.161 , time = 2.86
Iter 106 training loss = 4.377 , time = 2.85
Iter 107 training loss = 13.482 , time = 2.86
Iter 108 training loss = 126.315 , time = 2.86
Iter 109 training loss = 9.801 , time = 2.86
Iter 110 training loss = 8.388 , time = 2.87
Iter 111 training loss = 6.052 , time = 2.86
Iter 112 training loss = 9.211 , time = 2.86
Iter 113 training loss = 26.528 , time = 2.86
Iter 114 training loss = 4.165 , time = 2.86
Iter 115 training loss = 3.951 , time = 2.86
Iter 116 training loss = 8.766 , time = 2.84
Iter 117 training loss = 5.886 , time = 2.84
Iter 118 training loss = 9.784 , time = 2.84
Iter 119 training loss = 4.194 , time = 2.84
Iter 120 training loss = 5.277 , time = 2.86
Iter 121 training loss = 7.767 , time = 2.85
Iter 122 training loss = 4.674 , time = 2.86
Iter 123 training loss = 5.446 , time = 2.86
Iter 124 training loss = 3.001 , time = 2.86
Iter 125 training loss = 2.883 , time = 2.85
Iter 126 training loss = 3.744 , time = 2.86
Iter 127 training loss = 5.104 , time = 2.86
Iter 128 training loss = 7.410 , time = 2.85
Iter 129 training loss = 5.480 , time = 2.86
Iter 130 training loss = 7.524 , time = 2.86
Iter 131 training loss = 2.798 , time = 2.86
Iter 132 training loss = 3.410 , time = 2.86
